# 10 seconds đầu
relative_time_s,packet_id,device_timestamp_us,emg
176.807556,261941,176807568,929
176.808228,261942,176808240,925
176.808904,261943,176808916,914
176.809580,261944,176809592,903
176.810256,261945,176810268,892
176.810928,261946,176810940,881
176.811604,261947,176811616,869
176.812280,261948,176812292,858
176.812956,261949,176812968,847
176.813628,261950,176813640,835
176.814304,261951,176814316,824
176.814980,261952,176814992,813
176.815656,261953,176815668,922
176.816328,261954,176816340,930
176.817004,261955,176817016,930
176.817680,261956,176817692,930
176.818356,261957,176818368,930
176.819028,261958,176819040,930
176.819704,261959,176819716,930
176.820380,261960,176820392,930
176.821056,261961,176821068,930
176.821728,261962,176821740,930
176.822404,261963,176822416,930
176.823080,261964,176823092,930
176.823756,261965,176823768,930
176.824428,261966,176824440,929
176.825104,261967,176825116,929
176.825780,261968,176825792,924
176.826456,261969,176826468,914
176.827128,261970,176827140,904
176.827804,261971,176827816,894
176.828480,261972,176828492,884
176.829156,261973,176829168,873
176.829828,261974,176829840,862
176.830504,261975,176830516,852
176.831180,261976,176831192,841
176.831856,261977,176831868,830
176.832528,261978,176832540,819
176.833204,261979,176833216,808
176.833880,261980,176833892,798
176.834560,261981,176834572,788
176.835228,261982,176835240,930
176.835904,261983,176835916,930
176.836580,261984,176836592,930
176.837256,261985,176837268,931
176.837928,261986,176837940,931
176.838604,261987,176838616,931
176.839280,261988,176839292,931
176.839956,261989,176839968,930
176.840628,261990,176840640,930
176.841304,261991,176841316,931
176.841980,261992,176841992,930
176.842656,261993,176842668,930
176.843328,261994,176843340,931
176.844004,261995,176844016,930
176.844680,261996,176844692,931
176.845356,261997,176845368,930
176.846028,261998,176846040,931
176.846704,261999,176846716,930
176.847380,262000,176847392,930
176.848056,262001,176848068,930
176.848728,262002,176848740,930
176.849404,262003,176849416,930
176.850080,262004,176850092,930
176.850756,262005,176850768,930
176.851428,262006,176851440,930
176.852104,262007,176852116,930
176.852780,262008,176852792,929
176.853456,262009,176853468,920
176.854128,262010,176854140,907
176.854804,262011,176854816,894
176.855480,262012,176855492,882
176.856156,262013,176856168,870
176.856828,262014,176856840,858
176.857504,262015,176857516,846
176.858180,262016,176858192,834
176.858856,262017,176858868,822
176.859528,262018,176859540,810
176.860204,262019,176860216,798
176.860880,262020,176860892,787
176.861556,262021,176861568,776
176.862228,262022,176862240,794
176.862904,262023,176862916,896
176.863580,262024,176863592,892
176.864260,262025,176864272,892
176.864928,262026,176864940,893
176.865604,262027,176865616,892
176.866280,262028,176866292,890
176.866956,262029,176866968,886
176.867628,262030,176867640,882
176.868304,262031,176868316,877
176.868980,262032,176868992,871
176.869656,262033,176869668,865
176.870328,262034,176870340,857
176.871004,262035,176871016,850
176.871680,262036,176871692,842
176.872356,262037,176872368,833
176.873028,262038,176873040,824
176.873704,262039,176873716,815
176.874380,262040,176874392,806
176.875056,262041,176875068,885
176.875728,262042,176875740,930
176.876404,262043,176876416,930
176.877080,262044,176877092,930
176.877756,262045,176877768,930
176.878428,262046,176878440,930
176.879104,262047,176879116,930
176.879780,262048,176879792,930
176.880456,262049,176880468,930
176.881128,262050,176881140,930
176.881804,262051,176881816,930
176.882480,262052,176882492,930
176.883156,262053,176883168,930
176.883828,262054,176883840,930
176.884504,262055,176884516,930
176.885180,262056,176885192,930
176.885856,262057,176885868,930
176.886528,262058,176886540,930
176.887204,262059,176887216,930
176.887880,262060,176887892,929
176.888556,262061,176888568,928
176.889228,262062,176889240,918
176.889904,262063,176889916,906
176.890580,262064,176890592,895
176.891256,262065,176891268,883
176.891928,262066,176891940,872
176.892604,262067,176892616,861
176.893280,262068,176893292,849
176.893960,262069,176893972,838
176.894628,262070,176894640,827
176.895304,262071,176895316,873
176.895980,262072,176895992,930
176.896656,262073,176896668,930
176.897328,262074,176897340,930
176.898004,262075,176898016,930
176.898680,262076,176898692,930
176.899356,262077,176899368,930
176.900028,262078,176900040,930
176.900704,262079,176900716,930
176.901380,262080,176901392,930
176.902056,262081,176902068,929
176.902728,262082,176902740,929
176.903404,262083,176903416,923
176.904080,262084,176904092,914
176.904756,262085,176904768,905
176.905428,262086,176905440,896
176.906104,262087,176906116,887
176.906780,262088,176906792,877
176.907456,262089,176907468,867
176.908128,262090,176908140,857
176.908804,262091,176908816,847
176.909480,262092,176909492,836
176.910156,262093,176910168,826
176.910828,262094,176910840,815
176.911504,262095,176911516,804
176.912180,262096,176912192,794
176.912856,262097,176912868,783
176.913528,262098,176913540,773
176.914204,262099,176914216,820
176.914880,262100,176914892,930
176.915556,262101,176915568,930
176.916228,262102,176916240,930
176.916904,262103,176916916,930
176.917580,262104,176917592,930
176.918256,262105,176918268,930
176.918928,262106,176918940,930
176.919604,262107,176919616,930
176.920280,262108,176920292,930
176.920956,262109,176920968,930
176.921628,262110,176921640,930
176.922304,262111,176922316,930
176.922980,262112,176922992,930
176.923656,262113,176923668,930
176.924328,262114,176924340,930
176.925004,262115,176925016,930
176.925680,262116,176925692,930
176.926356,262117,176926368,930
176.927028,262118,176927040,930
176.927704,262119,176927716,929
176.928380,262120,176928392,923
176.929056,262121,176929068,911
176.929728,262122,176929740,900
176.930404,262123,176930416,889
176.931080,262124,176931092,877
176.931756,262125,176931768,866
176.932428,262126,176932440,855
176.933104,262127,176933116,844
176.933780,262128,176933792,832
176.934456,262129,176934468,821
176.935128,262130,176935140,887
176.935804,262131,176935816,930
176.936480,262132,176936492,930
176.937156,262133,176937168,930
176.937828,262134,176937840,930
176.938504,262135,176938516,930
176.939180,262136,176939192,930
176.939856,262137,176939868,930
176.940528,262138,176940540,930
176.941204,262139,176941216,930
176.941880,262140,176941892,930
176.942556,262141,176942568,930
176.943228,262142,176943240,930
176.943904,262143,176943916,930
176.944580,262144,176944592,928
176.945256,262145,176945268,920
176.945928,262146,176945940,910
176.946604,262147,176946616,900
176.947280,262148,176947292,890
